StationNumber,Longitude,Latitude
abas,144.28,44.02
abed,-2.08,57.14
abur,131.25,31.35
acaj,-89.84,13.57
acap,-99.92,16.83
acnj,-74.42,39.35
adak,-176.63,51.86
aden,44.97,12.79
agal,56.59,-10.35
agua,-67.17,18.45
ajac,8.76,41.92
alak,-154.25,56.9
alam,-122.3,37.77
albu,8.26,37.08
alcu,3.12,39.87
aler,-62.32,82.49
alex,29.92,31.21
alge,-5.4,36.18
alme,-2.48,36.83
alva,-95.77,18.77
amal,-64.92,18.33
anch,-149.89,61.24
ancu,-73.83,-41.87
ande,16.15,69.32
anto,-70.4,-23.65
apfl,-84.98,29.73
apla,-91.34,29.45
arac,-66.7,18.48
arca,-1.16,44.66
aren,-123.7,38.91
aric,-70.32,-18.48
arre,-13.53,28.97
ascen,-14.42,-7.92
ashd,34.64,31.83
ashk,59.57,21.85
askl,34.49,31.63
asto,-123.77,46.21
atic,-73.69,-16.23
atka,-174.17,52.23
auct,174.46,-36.51
avon,-2.73,51.5
ball,-9.89,54.25
balt,-90.28,-0.43
bamd,-76.58,39.27
bame,-68.2,44.39
bamf,-125.14,48.84
bang,-5.67,54.66
bara,-71.09,18.21
barb,-61.82,17.59
barc,2.16,41.34
barm,-4.05,52.72
barn,145.91,-41.05
bass,-62.71,17.29
bbbc,-128.14,52.16
bdto,-82.26,9.35
benc,-76.67,34.72
beno,115.22,-8.77
bgct,-73.18,41.17
bitu,125.19,1.44
blow,-63.09,18.17
blri,-71.3,41.6
blueb,57.71,-20.44
bmsa,-73.74,-40.58
bnjl,-16.57,13.44
bodr,27.42,37.03
boma,-71.05,42.35
bork,6.75,53.56
bouc,-1.51,43.53
boul,1.58,50.73
bour,-1.87,50.71
bozy,32.94,36.1
bres,-4.5,48.38
brid,-59.62,13.11
brom,122.22,-18
brpt,-158.12,21.32
btny,-74.02,40.7
buca,-72.05,-34.64
bull,-69.02,12.19
busa,129.04,35.09
buve,-77.08,3.89
cabc,-88.08,16.8
cabo,-109.91,22.88
cadi,-6.2,36.5
cala,1.87,50.97
cald,-70.82,-27.06
call,-77.17,-12.07
calq,-61.2,13.13
camt,-90.59,19.81
camu,-66.53,17.89
caph,-72.19,19.76
cara,-16.7,12.56
carb,-1.9,36.97
casc,-9.42,38.69
cast,-9.9,51.65
cbmd,-76.07,38.57
cbva,-76.11,36.97
ccar,-91.82,18.62
cctx,-97.22,27.58
cdtt,-61.87,10.09
cedr,-115.18,28.1
ceib,-86.76,15.79
cent,9.35,42.97
ceut,-5.32,35.9
chab,60.6,25.3
char,-124.32,43.34
chenn,80.3,13.1
cher,-1.63,49.65
chia,-92.41,14.7
chij,142.18,27.08
chit,-176.37,-44.02
chnr,-70.63,-26.35
chrl,-60.55,11.32
chrp,-122.76,48.86
chrs,105.67,-10.43
chtt,91.83,22.33
cila,109,-7.75
clst,-90.41,20.86
cmet,-74.07,-52.97
cmnj,-74.96,38.97
cocb,96.89,-12.12
coch,76.27,9.97
cocos,87.05,5.56
cois,-83.07,12.33
colo,79.85,6.95
como,43.25,-11.7
conc,-3.91,47.87
const,-72.46,-35.36
coqu,-71.34,-29.95
cord,-145.75,60.56
cori,-87.12,12.28
corr,-73.43,-39.89
coru,-8.4,43.37
cove,-76.21,9.41
cpit,176.23,-40.9
cpla,-93.34,29.77
cres,-124.18,41.74
crnl,-73.15,-37.03
crom,1.3,52.93
csta,28.6,44.16
cstr,-73.76,-42.48
cule,-65.3,18.3
curri,120.48,18.02
cuvie,113.4,-24.22
cuxh,8.72,53.87
cwfl,-82.83,27.98
cwme,-67.21,44.66
dakar,-17.42,14.68
darw,130.85,-12.47
davo,125.63,7.08
deke,158.2,6.98
delf,6.93,53.33
denh,4.75,52.96
denis,55.67,-3.8
dese,-65.91,-47.75
desh,-61.8,16.31
desi,-61.07,16.3
dial,-88.1,30.2
diba,56.27,25.65
diel,-1.86,49.55
diep,1.08,49.93
djib,43.17,11.6
dlpr,1.41,51.22
dove,1.32,51.11
dpnc,-75.75,36.18
dumo,140,-66.65
dunk,2.37,51.05
duqm,57.72,19.66
durb,31.03,-29.88
dutc,-166.54,53.88
dzao,45.26,-12.78
east,-109.45,-27.15
ebla,-90.37,30.05
eila,-91.39,29.37
elak,-136.34,58.19
elat,34.92,29.5
ellb,-122.33,47.6
elpo,-78.95,9.56
engg,102.28,-5.35
ense,-116.63,31.85
epme,-66.98,44.9
erdem,34.25,36.57
espe,121.9,-33.87
espr,-56.92,-63.33
estr,-71.31,12.36
faja,-65.63,18.33
fbfl,-81.47,30.67
ferg,147.06,-19.28
feth,29.09,36.62
figu,6.93,43.48
fish,-4.98,52.01
flma,-71.2,41.7
fmfl,-81.87,26.65
fong,179.2,-8.5
form,1.42,38.73
fort,-38.47,-3.72
fosm,4.89,43.4
fpga,-80.9,32.03
fpnt,-122.47,37.81
fptx,-95.31,28.95
fren,-166.28,23.87
frih,-123.01,48.55
frtr,-94.27,18.15
ftfr,-61.06,14.6
fuka,139.93,40.65
futu,-178.16,-14.3
gand,-0.15,39
ganm,73.15,-0.69
gaor,-123.91,45.55
garc,72.43,-7.23
gbit,175.49,-36.19
geor,-81.38,19.3
gibr,-5.35,36.13
gila,-89.96,29.26
gist,178.02,-38.68
gokc,25.89,40.23
goto,11.79,57.68
goug,-9.95,-40.32
gptx,-94.79,29.31
greg,-70.21,-52.65
groo,136.42,-13.86
guam,144.65,13.44
gwda,62.34,25.11
hade,34.86,32.47
haif,35,32.82
hain,94.32,16
hako,140.43,41.47
hali,-63.58,44.67
hamb,81.13,6.12
hana,145.57,43.28
hani,73.17,6.77
harl,5.41,53.18
harv,-120.67,34.47
harw,1.29,51.95
hbay,1.12,51.38
helg,7.89,54.18
hens,-133.1,54.18
herb,2.3,47.03
heys,-2.92,54.03
hien,164.94,-20.69
hill,115.74,-31.83
hilo,-155.06,19.73
hink,-3.13,51.21
hirt,9.97,57.6
hiva,-139.03,-9.8
hmda,132.07,34.9
hoek,4.12,51.98
holy,-4.63,53.31
honn,25.98,70.98
hono,-157.87,21.31
horn,8.3,54.76
huahi,-151.03,-16.72
huat,-96.12,15.75
huel,-6.83,37.13
iaix,-1.17,46.01
ibiz,1.45,38.92
iclr,-114.72,18.53
iler,-52.59,5.28
ilfa,-4.11,51.21
immi,-0.19,53.63
imuj,-86.72,21.22
inav,-75.75,10.18
inha,35.5,-23.92
iqui,-70.15,-20.2
isab,-65.44,18.15
ishig,124.1,24.2
iske,36.12,36.62
jaca,-72.54,18.23
jack,168.62,-43.97
jask,57.77,25.63
jers,-2.12,49.18
john,-169.52,16.74
juan,-78.83,-33.62
june,-134.41,58.3
kaci,34.05,44.42
kahu,-156.47,20.9
kait,173.7,-42.41
kala,22.11,37.02
kant,-171.72,-2.8
kapi,154.81,1.08
kara,66.97,24.81
kast,23.64,35.51
kata,21.32,37.64
kaum,-156.9,20.78
kawa,-155.83,20.04
kepo,-36.5,-54.28
kerg,70.22,-49.34
ketc,-131.63,55.33
kgak,-162.32,55.06
khol,142.04,47.05
kiel,10.27,54.5
kinl,-5.05,58.46
kodi,-152.51,57.73
koli,106.89,-6.11
komi,97.63,8.55
koro,21.96,36.8
kors,142.77,46.63
kota,98.42,7.82
kpva,-75.99,37.17
kril,142.08,45.9
krna,81.32,6.2
kuri,147.88,45.23
kush,144.38,42.97
kusm,135.46,33.49
kwaj,167.74,8.74
kwfl,-81.81,24.55
lago,-17.11,28.09
lagos,3.41,6.42
lajo,-117.26,32.87
lalb,-89.32,13.49
lali,-80.9,-2.21
lame,-64.44,18.2
lamu,40.9,-2.27
lang,-8.53,43.35
lank,99.77,6.42
lapa,-17.77,28.68
lapu,-124.64,47.91
larn,33.64,34.92
larp,-1.22,46.16
lasp,9.86,44.1
lata,165.8,-10.72
laun,-87.82,13.31
laza,-102.18,17.94
lebu,-73.66,-37.59
leco,-4.78,48.36
lecy,-2.9,47.54
lede,-75.12,38.72
lega,123.76,13.15
leha,0.11,49.48
leit,-3.18,55.99
lemba,116.07,-8.73
lena,169.27,-19.53
lero,-60.94,14.68
lerw,-1.15,60.16
leso,-1.79,46.5
leva,-76.47,37.99
levu,177.44,-17.6
lgos,-8.67,37.1
lifo,167.28,-20.92
lime,-64.75,17.7
litz,167.44,-16.11
llan,-3.83,53.33
lomb,147.37,-2.04
losa,-118.27,33.72
losu,-84.66,9.65
lott,178.16,-37.55
lowe,1.75,52.47
lpaz,-110.3,24.15
luba,120.2,13.82
luga,167.19,-15.52
lymg,-1.51,50.74
madry,-65.03,-42.76
maer,27.97,40.97
magi,-67.05,17.98
maho,4.27,39.89
mais,37.87,-46.87
maji,56.61,24.52
maka,-157.69,21.32
make,-143.57,-16.63
mala,134.45,7.33
male,73.53,4.19
mali,-7.33,55.37
malk,146.82,43.87
malo,5.12,61.93
malp,-81.6,4
mang,74.83,12.85
mani,120.97,14.58
manz,-104.3,19.06
mare,167.88,-21.55
mari,-8.69,42.41
marm,73.8,15.42
mars,5.36,43.29
marsh,171.37,7.11
masi,58.87,20.68
mata,-72.12,-17
maya,-67.16,18.22
maza,-106.42,23.18
meji,-70.45,-23.1
meli,-2.93,35.29
mera,139.49,34.55
meul,96.22,4.32
mhav,-5.05,51.71
mhpa,-75.41,39.81
midx,-177.36,28.21
mill,-4.91,55.75
mimz,-1.3,44.21
mind,-25,16.89
mini,73.05,8.28
mins,153.58,24.18
mnkt,174.51,-37.05
moal,-88.04,30.71
moku,-157.79,21.44
momb,39.65,-4.07
mona,-67.94,18.09
monc,7.42,43.73
mont,-121.89,36.6
mony,-71.96,41.05
motr,-3.52,36.72
moul,97.62,16.48
mrig,-61.28,15.55
